"","country","total_arrivals","gender","arrivals"
"1","SGP",34496707,"Male",19735426
"2","SGP",34496707,"Female",14761281
"3","IDN",8477856,"Male",4091695
"4","IDN",8477856,"Female",4386161
"5","THA",5647418,"Male",3285770
"6","THA",5647418,"Female",2361648
"7","CHN",4008013,"Male",1928203
"8","CHN",4008013,"Female",2079810
"9","BRN",2588744,"Male",1409405
"10","BRN",2588744,"Female",1179339
"11","IND",2345086,"Male",1606732
"12","IND",2345086,"Female",738354
"13","BGD",1165402,"Male",1094288
"14","BGD",1165402,"Female",71114
"15","PHL",1147669,"Male",417373
"16","PHL",1147669,"Female",730296
"17","KOR",1057434,"Male",534237
"18","KOR",1057434,"Female",523197
"19","AUS",889069,"Male",510076
"20","AUS",889069,"Female",378993
"21","VNM",878361,"Male",288305
"22","VNM",878361,"Female",590056
"23","GBR",780219,"Male",470507
"24","GBR",780219,"Female",309712
"25","JPN",739722,"Male",466081
"26","JPN",739722,"Female",273641
"27","TWN",639102,"Male",301859
"28","TWN",639102,"Female",337243
"29","USA",607643,"Male",355539
"30","USA",607643,"Female",252104
"31","NPL",449691,"Male",423456
"32","NPL",449691,"Female",26235
"33","MMR",360931,"Male",191030
"34","MMR",360931,"Female",169901
"35","PAK",355369,"Male",301501
"36","PAK",355369,"Female",53868
"37","DEU",339408,"Male",204827
"38","DEU",339408,"Female",134581
"39","FRA",335976,"Male",197461
"40","FRA",335976,"Female",138515
"41","RUS",281242,"Male",142179
"42","RUS",281242,"Female",139063
"43","KHM",210154,"Male",106206
"44","KHM",210154,"Female",103948
"45","CAN",192117,"Male",109803
"46","CAN",192117,"Female",82314
"47","NLD",174610,"Male",103829
"48","NLD",174610,"Female",70781
"49","SAU",151906,"Male",84070
"50","SAU",151906,"Female",67836
"51","LKA",138706,"Male",88496
"52","LKA",138706,"Female",50210
"53","ITA",123871,"Male",78662
"54","ITA",123871,"Female",45209
"55","NZL",113255,"Male",66803
"56","NZL",113255,"Female",46452
"57","ESP",105701,"Male",59600
"58","ESP",105701,"Female",46101
"59","MDV",80329,"Male",41887
"60","MDV",80329,"Female",38442
"61","POL",61737,"Male",32725
"62","POL",61737,"Female",29012
"63","EGY",61353,"Male",41949
"64","EGY",61353,"Female",19404
"65","IRN",61065,"Male",32851
"66","IRN",61065,"Female",28214
"67","CHE",60473,"Male",35967
"68","CHE",60473,"Female",24506
"69","LAO",55101,"Male",13740
"70","LAO",55101,"Female",41361
"71","SWE",53494,"Male",31335
"72","SWE",53494,"Female",22159
"73","IRL",51700,"Male",30982
"74","IRL",51700,"Female",20718
"75","TUR",50414,"Male",34652
