"","country","total_arrival","latitude","longitude","name"
"1","ABW",2,12.5,-69.9667,"Aruba"
"2","AFG",2750,33,65,"Afghanistan"
"3","AGO",169,-12.5,18.5,"Angola"
"4","AIA",4,18.25,-63.1667,"Anguilla"
"5","ALB",1549,41,20,"Albania"
"6","AND",194,42.5,1.6,"Andorra"
"7","ANT",2,12.25,-68.75,"Netherlands Antilles"
"8","ARE",15461,24,54,"United Arab Emirates"
"9","ARG",16051,-34,-64,"Argentina"
"10","ARM",2158,40,45,"Armenia"
"11","ATA",6,-90,0,"Antarctica"
"12","ATG",578,17.05,-61.8,"Antigua and Barbuda"
"13","AUS",889069,-27,133,"Australia"
"14","AUT",33865,47.3333,13.3333,"Austria"
"15","AZE",3931,40.5,47.5,"Azerbaijan"
"16","BDI",157,-3.5,30,"Burundi"
"17","BEL",47579,50.8333,4,"Belgium"
"18","BEN",319,9.5,2.25,"Benin"
"19","BFA",209,13,-2,"Burkina Faso"
"20","BGD",1165402,24,90,"Bangladesh"
"21","BGR",9556,43,25,"Bulgaria"
"22","BHR",5914,26,50.55,"Bahrain"
"23","BHS",240,24.25,-76,"Bahamas"
"24","BIH",2041,44,18,"Bosnia and Herzegovina"
"25","BLR",11138,53,28,"Belarus"
"26","BLZ",277,17.25,-88.75,"Belize"
"27","BMU",4,32.3333,-64.75,"Bermuda"
"28","BOL",1050,-17,-65,"Bolivia, Plurinational State of"
"29","BRA",35881,-10,-55,"Brazil"
"30","BRB",231,13.1667,-59.5333,"Barbados"
"31","BRN",2588744,4.5,114.6667,"Brunei Darussalam"
"32","BTN",1730,27.5,90.5,"Bhutan"
"33","BVT",1,-54.4333,3.4,"Bouvet Island"
"34","BWA",518,-22,24,"Botswana"
"35","CAF",13,7,21,"Central African Republic"
"36","CAN",192117,60,-95,"Canada"
"37","CCK",3,-12.5,96.8333,"Cocos (Keeling) Islands"
"38","CHE",60473,47,8,"Switzerland"
"39","CHL",8897,-30,-71,"Chile"
"40","CHN",4008013,35,105,"China"
"41","CIV",685,8,-5,"Côte d'Ivoire"
"42","CMR",844,6,12,"Cameroon"
"43","COD",430,0,25,"Congo, Democratic Republic of the"
"44","COG",96,-1,15,"Congo"
"45","COK",1,-21.2333,-159.7667,"Cook Islands"
"46","COL",6282,4,-72,"Colombia"
