"","date","soe","total_arrivals"
"1",2020-01-01,"Johor",1621595
"2",2020-01-01,"Kedah",85071
"3",2020-01-01,"Kelantan",40002
"4",2020-01-01,"Melaka",6015
"5",2020-01-01,"Negeri Sembilan",3398
"6",2020-01-01,"Pahang",1068
"7",2020-01-01,"Perak",21169
"8",2020-01-01,"Perlis",52560
"9",2020-01-01,"Pulau Pinang",66139
"10",2020-01-01,"Sabah",64829
"11",2020-01-01,"Sarawak",140162
"12",2020-01-01,"Selangor",817095
"13",2020-01-01,"Terengganu",0
"14",2020-01-01,"W.P. Labuan",3950
"15",2020-02-01,"Johor",1093546
"16",2020-02-01,"Kedah",64428
"17",2020-02-01,"Kelantan",39680
"18",2020-02-01,"Melaka",3236
"19",2020-02-01,"Negeri Sembilan",3259
"20",2020-02-01,"Pahang",449
"21",2020-02-01,"Perak",15691
"22",2020-02-01,"Perlis",45831
"23",2020-02-01,"Pulau Pinang",46197
"24",2020-02-01,"Sabah",30157
"25",2020-02-01,"Sarawak",100480
"26",2020-02-01,"Selangor",551924
"27",2020-02-01,"Terengganu",2
"28",2020-02-01,"W.P. Labuan",2442
"29",2020-03-01,"Johor",669826
"30",2020-03-01,"Kedah",37180
"31",2020-03-01,"Kelantan",20605
"32",2020-03-01,"Melaka",1040
"33",2020-03-01,"Negeri Sembilan",1694
"34",2020-03-01,"Pahang",271
"35",2020-03-01,"Perak",9620
"36",2020-03-01,"Perlis",29630
"37",2020-03-01,"Pulau Pinang",23117
"38",2020-03-01,"Sabah",7280
"39",2020-03-01,"Sarawak",49502
"40",2020-03-01,"Selangor",214336
"41",2020-03-01,"Terengganu",26
"42",2020-03-01,"W.P. Labuan",912
"43",2020-04-01,"Johor",296
"44",2020-04-01,"Kedah",13837
"45",2020-04-01,"Kelantan",22
"46",2020-04-01,"Melaka",0
"47",2020-04-01,"Negeri Sembilan",1
"48",2020-04-01,"Pahang",0
"49",2020-04-01,"Perak",2
"50",2020-04-01,"Perlis",2
"51",2020-04-01,"Pulau Pinang",11
"52",2020-04-01,"Sabah",18
"53",2020-04-01,"Sarawak",470
"54",2020-04-01,"Selangor",416
"55",2020-04-01,"Terengganu",0
"56",2020-04-01,"W.P. Labuan",2
"57",2020-05-01,"Johor",221
"58",2020-05-01,"Kedah",12924
"59",2020-05-01,"Kelantan",18
"60",2020-05-01,"Melaka",0
"61",2020-05-01,"Negeri Sembilan",0
"62",2020-05-01,"Pahang",2
"63",2020-05-01,"Perak",0
"64",2020-05-01,"Perlis",24
"65",2020-05-01,"Pulau Pinang",1
"66",2020-05-01,"Sabah",19
"67",2020-05-01,"Sarawak",454
"68",2020-05-01,"Selangor",617
"69",2020-05-01,"Terengganu",0
"70",2020-05-01,"W.P. Labuan",2
"71",2020-06-01,"Johor",387
"72",2020-06-01,"Kedah",11743
"73",2020-06-01,"Kelantan",21
"74",2020-06-01,"Melaka",0
"75",2020-06-01,"Negeri Sembilan",0
"76",2020-06-01,"Pahang",0
"77",2020-06-01,"Perak",5
"78",2020-06-01,"Perlis",3
"79",2020-06-01,"Pulau Pinang",18
"80",2020-06-01,"Sabah",33
"81",2020-06-01,"Sarawak",946
"82",2020-06-01,"Selangor",1238
"83",2020-06-01,"Terengganu",1
"84",2020-06-01,"W.P. Labuan",5
"85",2020-07-01,"Johor",811
"86",2020-07-01,"Kedah",10020
"87",2020-07-01,"Kelantan",9
"88",2020-07-01,"Melaka",0
"89",2020-07-01,"Negeri Sembilan",0
"90",2020-07-01,"Pahang",0
"91",2020-07-01,"Perak",10
"92",2020-07-01,"Perlis",2564
"93",2020-07-01,"Pulau Pinang",24
"94",2020-07-01,"Sabah",95
"95",2020-07-01,"Sarawak",1193
"96",2020-07-01,"Selangor",5608
"97",2020-07-01,"Terengganu",0
"98",2020-07-01,"W.P. Labuan",11
"99",2020-08-01,"Johor",831
"100",2020-08-01,"Kedah",10339
"101",2020-08-01,"Kelantan",3
"102",2020-08-01,"Melaka",0
