"","country","total_arrival","latitude","longitude"
"1","ABW",2,12.5,-69.9667
"2","AFG",2750,33,65
"3","AGO",169,-12.5,18.5
"4","AIA",4,18.25,-63.1667
"5","ALB",1549,41,20
"6","AND",194,42.5,1.6
"7","ANT",2,12.25,-68.75
"8","ARE",15461,24,54
"9","ARG",16051,-34,-64
"10","ARM",2158,40,45
"11","ATA",6,-90,0
"12","ATG",578,17.05,-61.8
"13","AUS",889069,-27,133
"14","AUT",33865,47.3333,13.3333
"15","AZE",3931,40.5,47.5
"16","BDI",157,-3.5,30
"17","BEL",47579,50.8333,4
"18","BEN",319,9.5,2.25
"19","BFA",209,13,-2
"20","BGD",1165402,24,90
"21","BGR",9556,43,25
"22","BHR",5914,26,50.55
"23","BHS",240,24.25,-76
"24","BIH",2041,44,18
"25","BLR",11138,53,28
"26","BLZ",277,17.25,-88.75
"27","BMU",4,32.3333,-64.75
"28","BOL",1050,-17,-65
"29","BOL",1050,-17,-65
"30","BRA",35881,-10,-55
"31","BRB",231,13.1667,-59.5333
"32","BRN",2588744,4.5,114.6667
"33","BRN",2588744,4.5,114.6667
"34","BTN",1730,27.5,90.5
"35","BVT",1,-54.4333,3.4
"36","BWA",518,-22,24
"37","CAF",13,7,21
"38","CAN",192117,60,-95
"39","CCK",3,-12.5,96.8333
"40","CHE",60473,47,8
"41","CHL",8897,-30,-71
"42","CHN",4008013,35,105
"43","CIV",685,8,-5
"44","CIV",685,8,-5
"45","CMR",844,6,12
"46","COD",430,0,25
"47","COG",96,-1,15
"48","COK",1,-21.2333,-159.7667
"49","COL",6282,4,-72
"50","COM",547,-12.1667,44.25
"51","CPV",84,16,-24
"52","CRI",2269,10,-84
"53","CUB",856,21.5,-80
"54","CYP",2345,35,33
"55","CZE",25563,49.75,15.5
"56","DEU",339408,51,9
"57","DJI",438,11.5,43
"58","DMA",1366,15.4167,-61.3333
"59","DNK",47641,56,10
"60","DOM",712,19,-70.6667
"61","DZA",22332,28,3
"62","ECU",2318,-2,-77.5
"63","EGY",61353,27,30
"64","ERI",538,15,39
"65","ESP",105701,40,-4
"66","EST",8255,59,26
"67","ETH",1201,8,38
"68","FIN",28014,64,26
"69","FJI",5371,-18,175
"70","FRA",335976,46,2
"71","FSM",29,6.9167,158.25
"72","GAB",287,-1,11.75
"73","GBR",780219,54,-2
"74","GEO",1936,42,43.5
"75","GHA",2582,8,-2
"76","GIB",2,36.1833,-5.3667
"77","GIN",1748,11,-10
"78","GLP",1,16.25,-61.5833
"79","GMB",844,13.4667,-16.5667
"80","GNB",26,12,-15
"81","GNQ",62,2,10
"82","GRC",9507,39,22
"83","GRD",525,12.1167,-61.6667
"84","GRL",4,72,-40
"85","GTM",827,15.5,-90.25
"86","GUY",197,5,-59
"87","HKG",27640,22.25,114.1667
"88","HMD",1,-53.1,72.5167
"89","HND",615,15,-86.5
"90","HRV",7211,45.1667,15.5
"91","HTI",240,19,-72.4167
"92","HUN",21586,47,20
"93","IDN",8477856,-5,120
"94","IND",2345086,20,77
"95","IOT",10,-6,71.5
"96","IRL",51700,53,-8
"97","IRN",61065,32,53
"98","IRQ",34226,33,44
"99","ISL",1437,65,-18
"100","ISR",16,31.5,34.75
"101","ITA",123871,42.8333,12.8333
"102","JAM",717,18.25,-77.5
"103","JOR",24557,31,36
"104","JPN",739722,36,138
"105","KAZ",39276,48,68
"106","KEN",13558,1,38
"107","KGZ",8974,41,75
"108","KHM",210154,13,105
"109","KIR",116,1.4167,173
"110","KNA",2330,17.3333,-62.75
"111","KOR",1057434,37,127.5
"112","KOR",1057434,37,127.5
"113","KWT",22762,29.3375,47.6581
"114","LAO",55101,18,105
"115","LBN",8141,33.8333,35.8333
"116","LBR",288,6.5,-9.5
"117","LBY",11524,25,17
"118","LBY",11524,25,17
"119","LCA",478,13.8833,-61.1333
"120","LIE",241,47.1667,9.5333
"121","LKA",138706,7,81
"122","LSO",174,-29.5,28.5
"123","LTU",14268,56,24
"124","LUX",1870,49.75,6.1667
"125","LVA",6777,57,25
"126","MAC",132,22.1667,113.55
"127","MAR",28552,32,-5
"128","MCO",103,43.7333,7.4
"129","MDA",1083,47,29
"130","MDG",2161,-20,47
"131","MDV",80329,3.25,73
"132","MEX",22342,23,-102
"133","MHL",111,9,168
"134","MKD",1332,41.8333,22
"135","MLI",331,17,-4
"136","MLT",1829,35.8333,14.5833
"137","MMR",360931,22,98
"138","MMR",360931,22,98
"139","MNE",564,42,19
"140","MNG",16414,46,105
"141","MNP",3,15.2,145.75
"142","MOZ",956,-18.25,35
"143","MRT",744,20,-12
"144","MUS",41679,-20.2833,57.55
"145","MWI",662,-13.5,34
"146","MYT",2,-12.8333,45.1667
"147","NAM",616,-22,17
"148","NCL",2,-21.5,165.5
"149","NER",90,16,8
"150","NGA",15552,10,8
"151","NIC",243,13,-85
"152","NLD",174610,52.5,5.75
"153","NOR",30007,62,10
"154","NPL",449691,28,84
"155","NRU",102,-0.5333,166.9167
"156","NZL",113255,-41,174
"157","OMN",39478,21,57
"158","PAK",355369,30,70
"159","PAN",947,9,-80
"160","PER",4860,-10,-76
"161","PHL",1147669,13,122
"162","PLW",57,7.5,134.5
"163","PNG",2519,-6,147
"164","POL",61737,52,20
"165","PRI",1,18.25,-66.5
"166","PRK",9,40,127
"167","PRT",27939,39.5,-8
"168","PRY",463,-23,-58
"169","PSE",10249,32,35.25
"170","QAT",5388,25.5,51.25
"171","REU",2,-21.1,55.6
"172","ROU",25980,46,25
"173","RUS",281242,60,100
"174","RUS",281242,60,100
"175","RWA",297,-2,30
"176","SAU",151906,25,45
"177","SDN",30589,15,30
"178","SEN",1799,14,-14
"179","SGP",34496707,1.3667,103.8
"180","SGS",7,-54.5,-37
"181","SHN",2,-15.9333,-5.7
"182","SLB",459,-8,159
"183","SLE",739,8.5,-11.5
"184","SLV",519,13.8333,-88.9167
"185","SMR",81,43.7667,12.4167
"186","SOM",7257,10,49
"187","SPM",1,46.8333,-56.3333
"188","SRB",2946,44,21
"189","SSD",972,8,30
"190","STP",48,1,7
"191","SUR",616,4,-56
"192","SVK",14033,48.6667,19.5
"193","SVN",5490,46,15
"194","SWE",53494,62,15
"195","SWZ",567,-26.5,31.5
"196","SYC",2595,-4.5833,55.6667
"197","SYR",20529,35,38
"198","TCA",3,21.75,-71.5833
"199","TCD",770,15,19
"200","TGO",262,8,1.1667
"201","THA",5647418,15,100
"202","TJK",3545,39,71
"203","TKL",2,-9,-172
"204","TKM",5375,40,60
"205","TLS",6745,-8.55,125.5167
"206","TON",424,-20,-175
"207","TTO",1158,11,-61
"208","TUN",18392,34,9
"209","TUR",50414,39,35
"210","TUV",14,-8,178
"211","TWN",639102,23.5,121
"212","TZA",5973,-6,35
"213","UGA",4255,1,32
"214","UKR",36714,49,32
"215","URY",2769,-33,-56
"216","USA",607643,38,-97
"217","UZB",36853,41,64
"218","VAT",34,41.9,12.45
"219","VCT",75,13.25,-61.2
"220","VCT",75,13.25,-61.2
"221","VCT",75,13.25,-61.2
"222","VEN",2871,8,-66
"223","VEN",2871,8,-66
"224","VNM",878361,16,106
"225","VNM",878361,16,106
"226","VUT",2970,-16,167
"227","WSM",113,-13.5833,-172.3333
"228","YEM",43725,15,48
"229","ZAF",45266,-29,24
"230","ZAR",23,-4.441931,15.266293
"231","ZMB",2169,-15,30
"232","ZWE",4687,-20,30
